Column1,Column2,Column3,Column4
0.011253631,0.008531333,0.004213104,0.024999995
0.010500202,0.008394988,0.00292799,0.025
0.009845303,0.00803427,0.002890779,0.025
0.010409563,0.009033565,0.002748526,0.024999999
